latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
17.46405,80.65263,303.41,0.5,0.41,2023-05-10,2000,N,VIIRS,n,2,280.26,0.49,N,0
21.87372,81.96573,338.38,0.61,0.53,2023-05-27,711,N,VIIRS,n,2,303.54,3.99,D,0
23.77113,86.20449,306.81,0.44,0.46,2023-02-23,2022,N,VIIRS,n,2,290.83,1.69,N,2
19.95519,84.25726,335.35,0.38,0.36,2023-03-28,736,N,VIIRS,n,2,304.58,2.32,D,0
31.57932,75.14455,330.7,0.71,0.75,2023-05-17,701,N,VIIRS,l,2,302.78,4.01,D,0
22.77401,87.40604,336.85,0.39,0.36,2023-11-24,716,N,VIIRS,n,2,305.19,5.2,D,0
22.37722,87.28001,320.54,0.34,0.56,2023-02-12,2029,N,VIIRS,n,2,292.8,2.1,N,2
28.70249,80.01817,306.58,0.39,0.36,2023-02-28,2028,N,VIIRS,n,2,270.36,1.27,N,0
22.07041,86.15967,340.44,0.59,0.53,2023-02-28,801,N,VIIRS,n,2,304.11,6.29,D,0
21.77788,78.7315,341.67,0.32,0.55,2023-02-21,832,N,VIIRS,n,2,311.58,4.22,D,0
21.56067,75.95362,343.29,0.34,0.56,2023-02-15,845,N,VIIRS,n,2,312.17,4.09,D,0
24.77244,79.12646,344.3,0.41,0.37,2023-04-17,802,N,VIIRS,l,2,316.87,6.48,D,0
22.88997,76.99487,349.47,0.39,0.36,2023-04-01,802,N,VIIRS,n,2,319.18,8.78,D,0
22.97221,78.25019,302.63,0.36,0.58,2023-11-09,2106,N,VIIRS,n,2,287.06,0.46,N,0
25.20048,93.2594,353.95,0.4,0.6,2023-03-11,615,N,VIIRS,n,2,294.15,7.47,D,0
21.24801,79.2225,304.1,0.4,0.37,2023-05-09,2018,N,VIIRS,n,2,284.01,0.6,N,2
31.20472,74.75204,342.57,0.45,0.47,2023-05-15,739,N,VIIRS,l,2,314.29,7.06,D,0
31.70505,75.02362,349.13,0.49,0.49,2023-05-12,836,N,VIIRS,n,2,311.14,7.05,D,0
26.07653,78.72037,330.14,0.5,0.41,2023-11-07,736,N,VIIRS,l,2,301.82,2.36,D,0
20.49777,73.91728,338.69,0.39,0.36,2023-02-06,813,N,VIIRS,n,2,311.07,10.37,D,0
17.65486,82.11712,302.41,0.41,0.45,2023-03-13,1947,N,VIIRS,n,2,291.53,0.89,N,0
20.91544,74.46561,334.07,0.54,0.68,2023-04-03,904,N,VIIRS,l,2,304.7,2.67,D,0
23.76006,91.82152,347.73,0.57,0.52,2023-04-13,737,N,VIIRS,n,2,305.34,9.15,D,0
21.15877,70.17451,338.11,0.4,0.37,2023-03-04,826,N,VIIRS,n,2,310.87,2.28,D,0
14.04047,76.79243,347.52,0.47,0.4,2023-02-16,824,N,VIIRS,n,2,318.8,8.81,D,0
22.25378,86.51044,338.21,0.42,0.38,2023-03-13,717,N,VIIRS,n,2,308.3,4.57,D,0
20.92496,81.9601,351.97,0.39,0.36,2023-12-19,747,N,VIIRS,n,2,300.58,6.18,D,0
25.88645,91.74464,335.24,0.48,0.48,2023-04-08,731,N,VIIRS,n,2,296.27,10.78,D,0
31.19586,74.81405,350.59,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,310.75,24.81,D,0
22.42391,77.26491,302.45,0.48,0.65,2023-03-29,1946,N,VIIRS,n,2,279.12,1.31,N,0
15.47796,78.00501,340.8,0.47,0.4,2023-02-11,818,N,VIIRS,l,2,311.27,4.95,D,0
22.73515,93.03071,348.16,0.39,0.36,2023-03-14,658,N,VIIRS,n,2,313.48,5.58,D,0
19.94129,78.65737,345.15,0.47,0.4,2023-03-10,813,N,VIIRS,n,2,311.0,3.75,D,0
17.36209,75.9996,337.26,0.44,0.63,2023-03-23,729,N,VIIRS,n,2,303.23,3.82,D,0
